date,По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду,temperature_mean,pressure_mean,humidity_mean,wind_speed_avg_mean,wind_speed_avg_max,solar_rad_sum,uv_max,pcp_sum,dow,dow_sin,dow_cos,month,month_sin,month_cos,is_weekend,is_friday,is_monday,is_peak_month,lag_1,lag_1_orders,lag_7,lag_7_orders,lag_14,lag_14_orders,lag_28,lag_28_orders,ma7,std7,growth_wow_7,ma14,std14,growth_wow_14,ma28,std28,growth_wow_28,stl_trend,stl_seasonal,stl_resid,is_anomaly,dow_x_month,is_friday_dec,is_friday_mar,avg_check,work_share
2024-10-30,2024-10-30,21.0,35400.0,0.0,35400.0,2.6083333333333334,747.8958333333334,89.84375,4.122916666666667,5.2,2880.0,1.0,0.0,2,0.9749279121818236,-0.22252093395631434,10,-0.8660254037844386,0.5000000000000001,0,0,0,0,53050.0,30.0,46600.0,22.0,39650.0,24.0,53300.0,22.0,46378.57142857143,9187.983871288028,-11200.0,43439.28571428572,10993.130347410906,-11200.0,42233.92857142857,10142.047181498638,-11200.0,52671.94404365998,6076.110376706808,-23348.054420366792,1,20,0,0,1685.7142054421806,0.9999999999717514
2024-10-31,2024-10-31,26.0,55500.0,0.0,55500.0,2.3270833333333334,739.5,88.78125,6.5062500000000005,9.6,1404.2,1.0,1.0,3,0.43388373911755823,-0.900968867902419,10,-0.8660254037844386,0.5000000000000001,0,0,0,0,35400.0,21.0,39400.0,24.0,31250.0,18.0,48550.0,25.0,48678.57142857143,9165.008508036564,16100.0,45171.42857142857,10834.111271025828,16100.0,42482.142857142855,10384.49890270666,16100.0,53708.77292896604,452.36700023751064,1338.8600707964506,0,30,0,0,2134.615302514796,0.999999999981982
2024-11-01,2024-11-01,21.0,49150.0,0.0,49150.0,0.0062499999999999,735.9583333333334,87.35416666666667,5.189583333333333,7.0,1926.2,1.0,2.6,4,-0.433883739117558,-0.9009688679024191,11,-0.5000000000000004,0.8660254037844384,0,1,0,1,55500.0,26.0,61700.0,31.0,59750.0,30.0,44650.0,26.0,46885.71428571428,7212.819275759189,-12550.0,44414.28571428572,10081.14059044895,-12550.0,42642.857142857145,10453.882092010086,-12550.0,54557.8769151527,10061.66969129943,-15469.546606452132,0,44,0,0,2340.4760790249484,0.9999999999796542
2024-11-02,2024-11-02,27.0,54900.0,0.0,54900.0,0.5625,722.1458333333334,92.90625,7.4,9.5,1455.5,1.0,12.0,5,-0.9749279121818236,-0.2225209339563146,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,49150.0,21.0,43850.0,22.0,36800.0,20.0,28000.0,14.0,48464.28571428572,7634.554903295291,11050.0,45707.142857142855,10189.56587629005,11050.0,43603.57142857143,10293.183006345253,11050.0,55176.56872941014,-2463.1528341346543,2186.5841047245194,0,55,0,0,2033.333258024694,0.999999999981785
2024-11-03,2024-11-03,13.0,21600.0,0.0,21600.0,-3.4812499999999997,733.8229166666666,78.65625,8.191666666666666,9.5,1543.5,1.0,3.0,6,-0.7818314824680299,0.6234898018587334,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,54900.0,27.0,40600.0,23.0,20450.0,15.0,23550.0,14.0,45750.0,12635.861664326703,-19000.0,45789.28571428572,9972.61979644253,-19000.0,43533.92857142857,10439.446678711964,-19000.0,55671.562597476026,-19022.34342529059,-15049.21917218544,0,66,0,0,1661.5383337278206,0.9999999999537037
2024-11-04,2024-11-04,21.0,37350.0,0.0,37350.0,-1.8708333333333331,741.375,78.80208333333333,4.302083333333333,6.5,2389.5,1.0,0.1,0,0.0,1.0,11,-0.5000000000000004,0.8660254037844384,0,0,1,1,21600.0,13.0,50650.0,31.0,42700.0,21.0,36100.0,19.0,43850.0,12775.432151855672,-13300.0,45407.142857142855,10200.016160297566,-13300.0,43578.57142857143,10409.10773359187,-13300.0,56035.55310708456,-5287.7785032898,-13397.774603794758,0,0,0,0,1778.571343877555,0.9999999999732262
2024-11-05,2024-11-05,37.0,66660.0,0.0,66660.0,-3.19375,743.96875,82.05208333333333,1.78125,3.4,1496.0,1.0,0.7,1,0.7818314824680298,0.6234898018587336,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,37350.0,21.0,53050.0,30.0,45950.0,21.0,40300.0,16.0,45794.28571428572,15212.19013066264,13610.0,46886.42857142857,11679.296348103127,13610.0,44520.0,11258.946072642184,13610.0,56073.29069388375,10203.610699208557,383.0986069076971,0,11,0,0,1801.6215729291469,0.9999999999849986
2024-11-06,2024-11-06,35.0,75950.0,0.0,75950.0,-6.727083333333333,743.90625,82.46875,4.302083333333333,5.7,1980.0,1.0,0.0,2,0.9749279121818236,-0.22252093395631434,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,66660.0,37.0,35400.0,21.0,46600.0,22.0,33100.0,17.0,51587.142857142855,18050.345993254326,40550.0,48982.857142857145,14022.938586238211,40550.0,46050.357142857145,12493.66816880324,40550.0,55971.37943359216,7025.379952043962,12953.240614363873,0,22,0,0,2169.9999380000017,0.9999999999868335
2024-11-07,2024-11-07,32.0,60150.0,0.0,60150.0,-4.252083333333333,747.0104166666666,89.51041666666667,3.0041666666666664,4.0,1752.7,1.0,0.0,3,0.43388373911755823,-0.900968867902419,11,-0.5000000000000004,0.8660254037844384,0,0,0,1,75950.0,35.0,55500.0,26.0,39400.0,24.0,38950.0,18.0,52251.42857142857,18302.154179742058,4650.0,50465.0,14028.75056117594,4650.0,46807.5,12688.30100554859,4650.0,55790.367320343015,2929.582298744958,1430.0503809120273,0,33,0,0,1879.6874412597676,0.9999999999833749
2024-11-08,2024-11-08,32.0,57650.0,0.0,57650.0,-1.525,750.9479166666666,88.23958333333333,3.327083333333333,5.2,2148.5,1.0,2.4,4,-0.433883739117558,-0.9009688679024191,11,-0.5000000000000004,0.8660254037844384,0,1,0,1,60150.0,32.0,49150.0,21.0,61700.0,31.0,59200.0,30.0,53465.71428571428,18344.01524307308,8500.0,50175.71428571428,13819.449345751162,8500.0,46752.142857142855,12635.50328978792,8500.0,55680.351312591796,5934.276604859237,-3964.6279174510346,0,44,0,0,1801.5624437011738,0.999999999982654
2024-11-09,2024-11-09,31.0,66050.0,0.0,66050.0,1.1666666666666667,743.1979166666666,95.45833333333331,7.3625,8.5,2112.5,1.0,2.6999999999999997,5,-0.9749279121818236,-0.2225209339563146,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,57650.0,32.0,54900.0,27.0,43850.0,22.0,54700.0,25.0,55058.57142857143,18962.96428003061,11150.0,51761.42857142857,14302.981860783162,11150.0,47157.5,13074.357890896867,11150.0,55731.89365129436,-3034.764195660079,13352.870544365724,0,55,0,0,2130.6450925598356,0.9999999999848601
2024-11-10,2024-11-10,21.0,39200.0,0.0,39200.0,0.24375,746.875,81.91666666666667,5.7124999999999995,7.8,1770.5,2.0,0.0,6,-0.7818314824680299,0.6234898018587334,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,66050.0,31.0,21600.0,13.0,40600.0,23.0,41400.0,20.0,57572.857142857145,14406.774696053943,17600.0,51661.42857142857,14391.639590744766,17600.0,47078.92857142857,13116.78126147469,17600.0,55879.512276444686,-17484.85159793788,805.339321493193,0,66,0,0,1866.6665777777819,0.9999999999744897
2024-11-11,2024-11-11,29.0,45350.0,0.0,45350.0,-3.975,755.7291666666666,84.65625,2.9729166666666664,4.5,1768.5,1.0,0.0,0,0.0,1.0,11,-0.5000000000000004,0.8660254037844384,0,0,1,1,39200.0,21.0,37350.0,21.0,50650.0,31.0,43700.0,25.0,58715.71428571428,12758.150149535724,8000.0,51282.857142857145,14489.66604094187,8000.0,47137.857142857145,13104.739701554572,8000.0,55937.578352096,-8361.987072193653,-2225.59127990235,0,0,0,0,1563.7930495243775,0.9999999999779493
