,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду
Количество заказ-нарядов,1.0,0.7426693414052258,0.6343320994474961,0.7133356916422465
Работ,0.7426693414052258,1.0,0.7345862820567094,0.8676219877462956
Запчастей,0.6343320994474961,0.7345862820567094,1.0,0.9690977005511826
Всего по заказ-наряду,0.7133356916422465,0.8676219877462956,0.9690977005511826,1.0
