,count,mean,std,min,25%,50%,75%,max
Количество заказ-нарядов,2313.0,17.56809338521401,8.81652662766287,1.0,12.0,17.0,23.0,53.0
Работ,2313.0,26675.286783398184,15919.523501924483,200.0,14950.0,22900.0,35100.0,108350.0
Запчастей,2313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Всего по заказ-наряду,2313.0,26675.286783398184,15919.523501924483,200.0,14950.0,22900.0,35100.0,108350.0
